CustomerID,Lookalikes
C0001,"[('C0011', 0.9662034972155572), ('C0152', 0.9616483463850724), ('C0107', 0.952565728677142)]"
C0002,"[('C0142', 0.9868685460668792), ('C0159', 0.9565697829460498), ('C0019', 0.9249791689914204)]"
C0003,"[('C0174', 0.9422833940136143), ('C0047', 0.8965558111982854), ('C0091', 0.8943309151629115)]"
C0004,"[('C0165', 0.9770876758426572), ('C0018', 0.9583085841588778), ('C0012', 0.9577428575151788)]"
C0005,"[('C0140', 0.9915541185777954), ('C0186', 0.9838649903594376), ('C0123', 0.978132335755864)]"
C0006,"[('C0107', 0.9515668351812856), ('C0183', 0.9511842691212021), ('C0187', 0.94663012729215)]"
C0007,"[('C0115', 0.9718242163944263), ('C0186', 0.9567962242113488), ('C0092', 0.9377836640906462)]"
C0008,"[('C0113', 0.9381324813172442), ('C0109', 0.9184623259127395), ('C0169', 0.9170568899769408)]"
C0009,"[('C0061', 0.9712738202651152), ('C0198', 0.9371540882037624), ('C0128', 0.9280313684674717)]"
C0010,"[('C0060', 0.9383054241873654), ('C0033', 0.8836644830905155), ('C0176', 0.8786408780347237)]"
C0011,"[('C0107', 0.9831889548466186), ('C0001', 0.9662034972155572), ('C0126', 0.9478151334517622)]"
C0012,"[('C0108', 0.9639783349664703), ('C0087', 0.9614590901526596), ('C0148', 0.9583760702946197)]"
C0013,"[('C0148', 0.9912361795783885), ('C0099', 0.9833542783431074), ('C0155', 0.96973626207645)]"
C0014,"[('C0062', 0.9838481187962342), ('C0097', 0.976904480549385), ('C0197', 0.975024191754914)]"
C0015,"[('C0058', 0.9815575569402818), ('C0131', 0.9736254385751295), ('C0042', 0.9040651937614972)]"
C0016,"[('C0185', 0.98423580353471), ('C0079', 0.9671792760404477), ('C0026', 0.9445711526671328)]"
C0017,"[('C0075', 0.9615531941566352), ('C0053', 0.9452439043299722), ('C0041', 0.9433664277012322)]"
C0018,"[('C0165', 0.9856324531069748), ('C0004', 0.9583085841588778), ('C0065', 0.9489345004227443)]"
C0019,"[('C0073', 0.9876806628971525), ('C0197', 0.97610078074262), ('C0199', 0.9696451093386318)]"
C0020,"[('C0131', 0.9712145782819991), ('C0130', 0.9640440611240001), ('C0150', 0.9606718617210035)]"
